Type,Year,Lowest Quintile,Second Quintile,Middle Quintile,Fourth Quintile,Highest Quintile,All Quintiles,81st - 90th Percentiles,91st - 95th Percentiles,96th - 99th Percentiles,Top 1 Percent
Before Tax,1979,17400,35500,53100,71900,136200,61900,93300,115200,166800,523300
Before Tax,1980,16900,34200,51400,69800,132400,60200,91100,113000,161000,500000
Before Tax,1981,16600,34000,51000,70600,131800,60300,90900,113200,159200,499600
Before Tax,1982,16300,33300,50100,69800,132800,60400,90900,112200,160000,526100
Before Tax,1983,15900,32100,49200,69300,137600,60800,91900,115100,164900,576900
Before Tax,1984,16500,34500,52100,73100,149300,64200,97900,124300,178800,638800
Before Tax,1985,16700,34300,52400,73300,151600,65400,97500,123900,181300,684100
Before Tax,1986,16800,34800,53400,75700,169700,69800,102100,129700,197700,891700
Before Tax,1987,16700,33400,52900,75800,159900,67400,102700,131600,194900,718700
Before Tax,1988,17100,33800,53600,76400,171000,70100,103900,133400,201800,898900
Before Tax,1989,17700,34500,54200,77300,170500,70700,105500,136100,205300,838100
Before Tax,1990,18500,35700,54400,76600,166100,70300,104000,133000,199500,808000
Before Tax,1991,18800,35100,53400,75900,159900,68600,102100,131600,195000,722600
Before Tax,1992,18800,35000,53600,76300,166600,70200,103200,133600,201800,816600
Before Tax,1993,19300,35700,54200,77300,167100,70800,104800,135200,203400,787100
Before Tax,1994,19400,35800,54400,78400,170800,71700,106900,137600,208000,810800
Before Tax,1995,20200,37600,56300,80000,179000,74600,109800,141400,218800,903200
Before Tax,1996,20100,37900,57100,81800,189100,77400,112000,146800,227800,998000
Before Tax,1997,20500,38600,58100,83600,200600,80700,114600,151900,242900,1149000
Before Tax,1998,21300,40200,59600,87000,213800,84800,119200,158100,256300,1302000
Before Tax,1999,21600,41500,61400,89500,227300,88800,123600,164700,268000,1417600
Before Tax,2000,21000,41200,61600,91000,238500,91000,126300,169900,275900,1557200
Before Tax,2001,21800,42000,62900,90100,217500,87000,125100,165300,260700,1241900
Before Tax,2002,21300,41100,61700,88600,207400,83600,123600,162400,250500,1100900
Before Tax,2003,21200,41000,61700,89800,214000,85100,125000,165500,259000,1170200
Before Tax,2004,21700,42400,64000,92800,233100,90100,129800,171600,274800,1395500
Before Tax,2005,22400,43400,64900,94400,252700,95000,132500,178300,296300,1688400
Before Tax,2006,23200,43900,65500,96200,263500,98300,135600,182900,305500,1826900
Before Tax,2007,23900,45600,67600,98400,273000,101000,138000,187300,315800,1917200
Before Tax,2008,23500,43800,65400,95700,246600,93600,135000,180500,290500,1558900
Before Tax,2009,23500,43400,64300,93800,223500,88400,131700,175800,271800,1219700
After Tax,1979,16100,30300,43100,56400,99300,48300,71400,86300,121500,339800
After Tax,1980,15600,29300,41700,54600,96700,46900,69400,84200,116900,334600
After Tax,1981,15300,29000,41200,54900,96700,46900,68700,84000,115800,347500
After Tax,1982,15100,28800,41100,55500,100700,48000,70400,85600,120700,385400
After Tax,1983,14600,27800,40700,55300,105100,48500,71600,88800,126000,422600
After Tax,1984,15000,29500,42800,58200,113700,51000,76000,95700,136600,466200
After Tax,1985,15200,29400,42900,58400,115500,51900,75500,95000,138300,505400
After Tax,1986,15300,29900,43800,60200,129700,55400,78900,99300,151000,672500
After Tax,1987,15300,28900,43700,60500,119000,53000,79300,99600,144300,500700
After Tax,1988,15700,29200,44100,60700,127500,55000,80000,101100,150400,638700
After Tax,1989,16400,29800,44600,61400,127800,55700,81300,103300,153400,601300
After Tax,1990,17000,30700,44800,60800,124700,55400,80100,101100,149200,581300
After Tax,1991,17200,30300,44200,60300,119700,54100,78900,99800,145600,512400
After Tax,1992,17300,30500,44400,60800,124300,55400,79900,101700,150200,571600
After Tax,1993,17700,31100,44900,61600,122900,55500,81200,102400,149800,523500
After Tax,1994,18100,31300,45100,62300,124500,56000,82200,103600,152400,528700
After Tax,1995,18800,32800,46700,63500,129700,58100,84400,106100,159400,584100
After Tax,1996,18800,33100,47400,65000,136700,60100,86200,110100,165300,646500
After Tax,1997,19100,33700,48100,66300,144900,62500,87800,113700,176000,756900
After Tax,1998,19900,35300,49700,69100,155300,65900,91400,118500,186000,877000
After Tax,1999,20200,36300,51200,71100,164200,68800,94700,123000,193200,952600
After Tax,2000,19600,36100,51400,72200,172300,70300,96700,126900,198900,1052600
After Tax,2001,20500,37500,53500,73100,159900,68700,97200,125000,191200,842700
After Tax,2002,20100,36900,52800,72400,153800,66700,97000,123700,185100,748300
After Tax,2003,20000,37100,53300,74100,161100,68600,99400,128000,194200,814000
After Tax,2004,20600,38300,55200,76600,174900,72400,103200,132700,205200,975800
After Tax,2005,21200,39100,56000,77800,188600,75800,105200,137800,219700,1175300
After Tax,2006,21900,39600,56400,79200,196500,78400,107500,141200,226300,1278700
After Tax,2007,22700,40800,58100,81200,205600,80900,109600,145200,235700,1373700
After Tax,2008,23200,40600,57900,80700,188300,76700,109200,141400,218900,1120500
After Tax,2009,23300,40500,57100,79600,171600,73100,107000,138700,206200,866700
